,R_ant,R_mid,R_post,L_ant,L_mid,L_post,R_CSF,L_CSF,ant_Corpus_Callosm,post_Corpus_Callosm
0,99.56597,141.83803,109.35163,116.40517,112.346214,108.909996,76.03258,62.672337,90.73847,89.76135
1,83.14483,134.19846,169.0049,115.090096,100.2328,110.331635,74.165665,73.45885,82.399445,88.1521
2,86.63413,139.2117,167.7905,140.13853,105.78962,123.89611,89.62578,50.45346,127.48508,92.59196
3,76.00801,136.74313,213.05524,140.22253,94.754,127.607155,84.61767,69.13819,102.63127,93.74795
4,72.49762,136.6316,184.5926,137.14961,140.2267,110.715,65.42306,55.86597,124.85823,89.99467
5,80.25271,128.33804,157.06519,133.40881,126.77407,104.528275,69.19629,52.66301,111.48612,89.30625
6,67.11434,136.56364,212.63779,136.94432,110.449745,117.15708,61.745285,88.318375,117.137856,93.42468
7,68.52127,127.85995,190.93456,136.97565,112.993286,102.4552,57.548428,78.48949,113.47474,101.62949
8,66.69738,124.91267,159.36777,131.59636,122.922455,96.586266,85.2298,73.819275,147.65425,84.52467
9,99.51645,122.63427,223.81668,122.88795,121.65907,99.9496,72.609886,107.77703,113.07529,83.99956
10,106.58483,109.5634,149.07211,125.555,88.6793,121.569435,61.970127,62.43512,141.42429,89.92121
11,103.12915,112.03621,136.86505,123.69869,85.54185,112.76157,76.700966,90.61887,149.03069,91.40049
12,88.07306,107.236694,153.89804,120.63988,121.01024,109.85151,65.926025,66.26946,130.28421,84.17422
13,89.95858,109.183334,169.7788,116.38175,116.49808,112.10542,54.879276,55.116074,110.75874,93.56897
14,94.10045,105.023155,120.91488,134.93001,99.72295,126.33429,75.71896,119.63268,138.71436,97.94702
15,100.68885,113.14752,120.90382,129.87302,96.311584,128.86758,57.12028,95.40746,134.84387,95.41977
16,107.42223,112.95635,147.54619,135.95387,123.36069,127.494125,,78.72208,,88.47232
17,79.43762,111.00848,125.25405,142.07445,120.36026,128.12103,,135.92079,,92.90608
18,84.85969,101.8534,126.09834,135.39905,123.755135,134.96623,,88.14681,,94.326004
19,78.64665,115.35423,112.74244,125.16132,126.0037,114.05818,,114.1429,,90.5856
20,86.05072,118.09362,115.79402,133.90428,126.969315,107.32869,,,,
21,97.39485,108.937225,128.55884,136.38985,124.03361,115.281746,,,,
22,84.18154,106.6174,116.13438,145.43274,141.65929,128.11594,,,,
23,89.85467,90.932495,126.6907,133.86185,129.86932,107.23787,,,,
24,71.41653,102.3765,115.43796,114.1798,109.09612,100.22939,,,,
25,69.911194,116.06365,108.43488,115.32795,103.95109,109.445305,,,,
26,77.99242,109.54415,110.72594,127.97256,137.53096,125.68717,,,,
27,77.67552,103.843414,129.37708,133.9138,123.00565,121.51034,,,,
28,77.50524,98.28409,117.72429,122.77136,98.1317,111.979866,,,,
29,72.8733,108.781006,107.20862,105.33453,93.93088,110.85507,,,,
30,110.89114,107.90195,142.04996,113.115654,105.226944,116.65822,,,,
31,117.28445,98.122246,130.09041,109.42702,135.1123,123.286095,,,,
32,116.27899,106.07783,129.53777,107.048485,117.81359,115.50052,,,,
33,93.8343,106.36115,135.41211,104.5271,113.398605,121.81913,,,,
34,100.87873,110.75738,125.07417,104.76818,117.84554,125.98382,,,,
35,106.315414,107.5357,112.68696,110.90406,119.7922,127.377975,,,,
36,114.94412,93.25092,116.01488,103.94622,133.47342,132.91261,,,,
37,123.2259,109.62557,134.322,95.50596,116.06861,131.18256,,,,
38,88.38154,116.49802,147.39336,104.59613,129.20572,126.59392,,,,
39,86.5191,110.438416,104.95803,112.217545,144.80914,132.7192,,,,
40,87.54144,114.51728,101.66431,120.440475,114.154816,156.71252,,,,
41,98.474205,91.28552,105.99647,105.827934,123.26617,144.17897,,,,
42,108.89117,105.05873,118.35022,85.49802,129.0979,124.76958,,,,
43,93.02924,112.78996,130.36569,91.26045,126.391716,130.25539,,,,
44,80.045105,111.457695,101.37593,114.56802,147.48921,151.58513,,,,
45,74.30168,116.30483,100.18637,120.56192,128.29994,170.27043,,,,
46,79.25084,100.991325,96.10816,105.127785,118.55663,134.41356,,,,
47,85.20043,102.31042,98.849434,83.82913,105.92064,127.580246,,,,
48,84.89172,107.491165,99.67809,105.890335,134.1692,139.32852,,,,
49,78.103966,93.9262,109.02139,99.59248,120.16718,153.41695,,,,
50,73.84996,103.50548,99.71489,77.223976,114.328804,155.05621,,,,
51,119.78002,109.84544,113.25276,76.448875,108.27989,130.58623,,,,
52,115.9433,118.44796,118.61296,73.78197,106.80057,139.90959,,,,
53,119.19831,113.02702,116.709785,74.79524,130.67604,156.14267,,,,
54,104.83263,118.22711,125.10284,83.915886,118.62289,161.41853,,,,
55,110.83283,126.64723,109.730774,85.918915,125.02983,150.22719,,,,
56,114.52898,114.172905,111.66371,74.96236,129.98077,157.03604,,,,
57,122.20144,117.64894,112.80289,63.98346,127.69178,128.6969,,,,
58,128.3169,126.08806,118.41137,89.363205,127.04792,137.05945,,,,
59,91.7604,110.10335,114.52466,94.120476,119.45847,127.98105,,,,
60,97.61449,105.15612,111.379684,83.06206,133.8542,135.99731,,,,
61,103.64757,110.74824,103.50248,67.920845,149.48703,151.49617,,,,
62,112.3026,118.288124,102.12132,61.39221,109.589325,140.93027,,,,
63,117.110664,120.5532,111.48206,61.895252,119.89824,140.64285,,,,
64,89.01114,,111.65294,,132.00691,150.81775,,,,
65,87.324615,,104.013596,,134.08614,157.99858,,,,
66,85.19331,,95.361145,,120.072975,149.51343,,,,
67,91.190186,,91.92719,,143.65326,164.40627,,,,
68,96.93581,,98.23246,,107.95489,176.86443,,,,
69,88.96753,,98.91805,,119.86007,174.81816,,,,
